#OTU ID	103.CO3	103.AR1	103.SA1	103.CA2	103.TL1	103.HI3	103.IT1	103.SK3	103.KP4	103.MD5	103.MP2	103.CO2	103.HF2	103.MD2	103.SP2	103.IT2	103.RT1	103.SP1	103.PE6	103.BF1	103.SF2	103.CM1	103.HI1	103.CL3	103.SK1	103.CO1	103.CL1	103.GB5	103.SR2	103.CC1	103.HJ1	103.AR2	103.CA1	103.DF2	103.PE1	103.MD4	103.PE7	103.KP1	103.AR3	103.SV2	103.SN1	103.LQ1	103.HI2	103.GB3	103.TL2	103.DF3	103.CF1	103.PE4	103.HF1	103.KP3	103.MP1	103.BP1
1147699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0	6.0	0.0	3.0	1.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	12.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	8.0	1.0	12.0	0.0	4.0	0.0
242467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	3.0	0.0	0.0	12.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	21.0	18.0	6.0	11.0	0.0	0.0	0.0
1123837	0.0	0.0	1.0	32.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	19.0	0.0	0.0	0.0	23.0	9.0	0.0	0.0	0.0	0.0	0.0	60.0	44.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	3.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	12.0
1130478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	33.0	7.0	6.0	0.0	1.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	11.0	12.0	13.0	4.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	14.0	2.0	0.0	7.0	2.0	9.0	0.0
3639039	4.0	0.0	1.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0	0.0	1.0	0.0	9.0	0.0	1.0	0.0	1.0	0.0	0.0	10.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0	18.0	0.0	0.0	0.0	0.0	5.0	0.0	13.0
4468200	4.0	3.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	11.0	4.0	0.0	0.0	2.0	33.0	0.0	1.0	0.0	0.0	4.0	4.0	10.0	0.0	0.0	2.0	11.0	2.0	0.0	0.0	0.0	3.0	3.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	24.0	0.0	5.0
209803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	1.0	0.0	13.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	3.0	0.0	0.0	8.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	28.0	6.0	31.0	0.0	6.0	0.0
216805	0.0	0.0	1.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	14.0	6.0	5.0	0.0	12.0	8.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	8.0	7.0	2.0	0.0	0.0	0.0	9.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	15.0	2.0
211129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	11.0	0.0	2.0	0.0	0.0	0.0	1.0	16.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	4.0	30.0	0.0	9.0	0.0	0.0	0.0
1123984	0.0	0.0	0.0	0.0	8.0	0.0	0.0	4.0	0.0	0.0	16.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	23.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
1129210	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	0.0	15.0	1.0	52.0	0.0	2.0	0.0	0.0	0.0	1.0	10.0	0.0	0.0	0.0	16.0	16.0	0.0	18.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	10.0	30.0	25.0	39.0	0.0	0.0	0.0
211848	0.0	1.0	0.0	0.0	0.0	0.0	5.0	1.0	9.0	0.0	14.0	4.0	0.0	0.0	2.0	16.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	3.0	0.0	2.0	2.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	6.0	0.0	0.0	0.0	0.0	24.0	0.0
136959	0.0	60.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	24.0	0.0	12.0	0.0	0.0	5.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0
148783	7.0	3.0	2.0	0.0	0.0	6.0	0.0	5.0	3.0	0.0	9.0	1.0	6.0	0.0	0.0	13.0	1.0	6.0	1.0	4.0	0.0	0.0	0.0	13.0	6.0	0.0	24.0	0.0	0.0	8.0	10.0	3.0	0.0	4.0	0.0	0.0	1.0	5.0	2.0	0.0	0.0	0.0	33.0	0.0	0.0	29.0	0.0	2.0	14.0	1.0	1.0	1.0
78839	0.0	0.0	1.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	13.0	1.0	31.0	0.0	4.0	2.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	11.0	4.0	10.0	0.0	2.0	0.0
154494	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	39.0	0.0	3.0	0.0	0.0	0.0	73.0	36.0	0.0	0.0	0.0	13.0	1.0	0.0	7.0	0.0	0.0	3.0	1.0	2.0	0.0	0.0	10.0	0.0	23.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	16.0	25.0	37.0	53.0	0.0	4.0	0.0
146397	5.0	2.0	5.0	4.0	0.0	4.0	3.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	6.0	4.0	9.0	2.0	4.0	2.0	1.0	0.0	3.0	6.0	2.0	5.0	0.0	1.0	4.0	4.0	2.0	6.0	1.0	4.0	0.0	0.0	7.0	1.0	0.0	1.0	1.0	1.0	6.0	2.0	4.0	0.0	0.0	1.0	1.0	2.0	1.0
1104509	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	13.0	0.0	6.0	0.0	0.0	0.0	2.0	17.0	0.0	0.0	0.0	8.0	1.0	1.0	1.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	10.0	4.0	17.0	0.0	14.0	0.0
572134	0.0	18.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	3.0	5.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	76.0	0.0	2.0	0.0	0.0	2.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
154519	0.0	1.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	27.0	0.0	13.0	0.0	24.0	1.0	0.0	1.0	6.0	11.0	0.0	0.0	0.0	6.0	2.0	0.0	9.0	0.0	0.0	2.0	7.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	21.0	11.0	28.0	0.0	12.0	0.0
4681	1.0	2.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	4.0	0.0	8.0	0.0	3.0	2.0	0.0	0.0	7.0	12.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	4.0	0.0	2.0	4.0	4.0	0.0	0.0	4.0	0.0	0.0	1.0	4.0	7.0	18.0	8.0	0.0	10.0	0.0
512006	1.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	9.0	4.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0	25.0	0.0	2.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	2.0	3.0	5.0	0.0	9.0	0.0
160908	0.0	0.0	2.0	1.0	10.0	0.0	4.0	10.0	1.0	0.0	26.0	4.0	0.0	0.0	35.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	11.0	0.0	1.0	0.0	0.0	0.0	28.0	0.0
1137157	0.0	0.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	39.0	0.0	0.0	6.0	0.0	0.0	0.0	5.0	8.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4341561	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	42.0	5.0	16.0	0.0	12.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	1.0	4.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	18.0	8.0	1.0	38.0	0.0	22.0	0.0
143135	0.0	0.0	0.0	0.0	211.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83531	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	6.0	0.0	3.0	3.0	0.0	3.0	4.0	0.0	2.0	1.0	0.0	1.0	6.0	5.0	0.0	4.0	7.0	0.0	7.0	0.0	5.0	0.0	1.0	1.0	0.0	2.0	1.0	2.0	1.0	3.0	4.0	2.0	1.0	0.0
